Vendor_ID,Name,Type,Area,City,Avg_Rating,Total_Rating,Item_ID,Item_Name,Category,Price,Food_Type,Avg_Rating.1,Total_Order
C3001,Brew & Bite Café ☕,Café,Thirumangalam,Madurai,4,4001,7001,Espresso,Café Menu,80,Veg,4,7501
C3001,Brew & Bite Café ☕,Café,Thirumangalam,Madurai,4,4001,7002,Cappuccino,Café Menu,120,Veg,4,7502
C3001,Brew & Bite Café ☕,Café,Thirumangalam,Madurai,4,4001,7003,Latte,Café Menu,130,Veg,4,7503
C3001,Brew & Bite Café ☕,Café,Thirumangalam,Madurai,4,4001,7004,Americano,Café Menu,100,Veg,4,7504
C3001,Brew & Bite Café ☕,Café,Thirumangalam,Madurai,4,4001,7005,Filter Coffee,Café Menu,50,Veg,4,7505
C3001,Brew & Bite Café ☕,Café,Thirumangalam,Madurai,4,4001,7006,Masala Chai,Café Menu,60,Veg,4,7506
C3001,Brew & Bite Café ☕,Café,Thirumangalam,Madurai,4,4001,7007,Green Tea,Café Menu,70,Veg,4,7507
C3001,Brew & Bite Café ☕,Café,Thirumangalam,Madurai,4,4001,7008,Cold Brew,Café Menu,140,Veg,4,7508
C3001,Brew & Bite Café ☕,Café,Thirumangalam,Madurai,4,4001,7009,Iced Latte,Café Menu,150,Veg,4,7509
C3001,Brew & Bite Café ☕,Café,Thirumangalam,Madurai,4,4001,7010,Hot Chocolate,Café Menu,160,Veg,4,7510
C3001,Brew & Bite Café ☕,Café,Thirumangalam,Madurai,4,4001,7011,Blueberry Muffin,Café Menu,90,Veg,4,7511
C3001,Brew & Bite Café ☕,Café,Thirumangalam,Madurai,4,4001,7012,Choco Lava Cake,Café Menu,120,Veg,4,7512
C3002,Madurai Mocha House 🍫,Café,Anna Nagar,Madurai,4,4002,7013,Espresso,Café Menu,80,Veg,4,7513
C3002,Madurai Mocha House 🍫,Café,Anna Nagar,Madurai,4,4002,7014,Cappuccino,Café Menu,120,Veg,4,7514
C3002,Madurai Mocha House 🍫,Café,Anna Nagar,Madurai,4,4002,7015,Latte,Café Menu,130,Veg,4,7515
C3002,Madurai Mocha House 🍫,Café,Anna Nagar,Madurai,4,4002,7016,Americano,Café Menu,100,Veg,4,7516
C3002,Madurai Mocha House 🍫,Café,Anna Nagar,Madurai,4,4002,7017,Filter Coffee,Café Menu,50,Veg,4,7517
C3002,Madurai Mocha House 🍫,Café,Anna Nagar,Madurai,4,4002,7018,Masala Chai,Café Menu,60,Veg,4,7518
C3002,Madurai Mocha House 🍫,Café,Anna Nagar,Madurai,4,4002,7019,Green Tea,Café Menu,70,Veg,4,7519
C3002,Madurai Mocha House 🍫,Café,Anna Nagar,Madurai,4,4002,7020,Cold Brew,Café Menu,140,Veg,4,7520
C3002,Madurai Mocha House 🍫,Café,Anna Nagar,Madurai,4,4002,7021,Iced Latte,Café Menu,150,Veg,4,7521
C3002,Madurai Mocha House 🍫,Café,Anna Nagar,Madurai,4,4002,7022,Hot Chocolate,Café Menu,160,Veg,4,7522
C3002,Madurai Mocha House 🍫,Café,Anna Nagar,Madurai,4,4002,7023,Blueberry Muffin,Café Menu,90,Veg,4,7523
C3002,Madurai Mocha House 🍫,Café,Anna Nagar,Madurai,4,4002,7024,Choco Lava Cake,Café Menu,120,Veg,4,7524
C3003,Espresso Hub ☕,Café,KK Nagar,Madurai,4,4003,7025,Espresso,Café Menu,80,Veg,4,7525
C3003,Espresso Hub ☕,Café,KK Nagar,Madurai,4,4003,7026,Cappuccino,Café Menu,120,Veg,4,7526
C3003,Espresso Hub ☕,Café,KK Nagar,Madurai,4,4003,7027,Latte,Café Menu,130,Veg,4,7527
C3003,Espresso Hub ☕,Café,KK Nagar,Madurai,4,4003,7028,Americano,Café Menu,100,Veg,4,7528
C3003,Espresso Hub ☕,Café,KK Nagar,Madurai,4,4003,7029,Filter Coffee,Café Menu,50,Veg,4,7529
C3003,Espresso Hub ☕,Café,KK Nagar,Madurai,4,4003,7030,Masala Chai,Café Menu,60,Veg,4,7530
C3003,Espresso Hub ☕,Café,KK Nagar,Madurai,4,4003,7031,Green Tea,Café Menu,70,Veg,4,7531
C3003,Espresso Hub ☕,Café,KK Nagar,Madurai,4,4003,7032,Cold Brew,Café Menu,140,Veg,4,7532
C3003,Espresso Hub ☕,Café,KK Nagar,Madurai,4,4003,7033,Iced Latte,Café Menu,150,Veg,4,7533
C3003,Espresso Hub ☕,Café,KK Nagar,Madurai,4,4003,7034,Hot Chocolate,Café Menu,160,Veg,4,7534
C3003,Espresso Hub ☕,Café,KK Nagar,Madurai,4,4003,7035,Blueberry Muffin,Café Menu,90,Veg,4,7535
C3003,Espresso Hub ☕,Café,KK Nagar,Madurai,4,4003,7036,Choco Lava Cake,Café Menu,120,Veg,4,7536
